"short.ref"	"key.or.doi"	"long.ref"
"Mora et al. 2011"	"10.1002/jqs.1486"	"list(doi = \"10.1002/jqs.1486\", url = \"https://doi.org/10.1002/jqs.1486\", year = \"2011\", month = \"jul\", publisher = \"Wiley\", volume = \"26\", number = \"6\", pages = \"635--644\", author = list(list(given = \"R.\", family = \"Mora\", role = NULL, email = NULL, comment = NULL), list(given = \"A.\", family = \"Benito-Calvo\", role = NULL, email = NULL, comment = NULL), list(given = \"J.\", family = \"Mart\\'\\inez-Moreno\", role = NULL, email = NULL, comment = NULL), list(given = c(\"P.\", \"GonzÃ¡lez\"), family = \"Marcen\", 
    role = NULL, email = NULL, comment = NULL), list(given = c(\"I.\", \"De\", \"La\"), family = \"Torre\", role = NULL, email = NULL, comment = NULL)), title = \"Chrono-stratigraphy of the Upper Pleistocene and Holocene archaeological sequence in Cova Gran (south-eastern Pre-Pyrenees, Iberian Peninsula)\", journal = \"Journal of Quaternary Science\")"
"Navarrete et al., 2017"	"10.1002/oa.2598"	"list(doi = \"10.1002/oa.2598\", url = \"https://doi.org/10.1002/oa.2598\", year = \"2017\", month = \"jun\", publisher = \"Wiley\", volume = \"27\", number = \"5\", pages = \"839--852\", author = list(list(given = \"V.\", family = \"Navarrete\", role = NULL, email = NULL, comment = NULL), list(given = c(\"A.\", \"C.\"), family = \"Colonese\", role = NULL, email = NULL, comment = NULL), list(given = \"C.\", family = \"Tornero\", role = NULL, email = NULL, comment = NULL), list(given = \"F.\", family = \"Antol\\'\\in\", role = NULL, 
    email = NULL, comment = NULL), list(given = c(\"M.\", \"Von\"), family = \"Tersch\", role = NULL, email = NULL, comment = NULL), list(given = c(\"M.\", \"EulÃ lia\", \"Subi\"), family = \"à\", role = NULL, email = NULL, comment = NULL), list(given = \"P.\", family = \"Comes\", role = NULL, email = NULL, comment = NULL), list(given = c(\"A.\", \"Rosell-Me\"), family = \"é\", role = NULL, email = NULL, comment = NULL), list(given = \"M.\", family = \"SaÃ±a\", role = NULL, email = NULL, comment = NULL)), title = \"Feeding Management Strategies among the Early Neolithic Pigs in the {NE} of the Iberian Peninsula\", 
    journal = \"International Journal of Osteoarchaeology\")"
"Ramis & Bover 2001"	"10.1006/jasc.2000.0548"	"list(doi = \"10.1006/jasc.2000.0548\", url = \"https://doi.org/10.1006/jasc.2000.0548\", year = \"2001\", month = \"mar\", publisher = \"Elsevier {BV}\", volume = \"28\", number = \"3\", pages = \"265--282\", author = list(list(given = \"DamiÃ \", family = \"Ramis\", role = NULL, email = NULL, comment = NULL), list(given = \"Pere\", family = \"Bover\", role = NULL, email = NULL, comment = NULL)), title = \"A Review of the Evidence for Domestication of Myotragus balearicus Bate 1909 (Artiodactyla, Caprinae) in the Balearic Islands\", 
    journal = \"Journal of Archaeological Science\")"
"Serrano et al. 1997"	"10.1006/qres.1997.1920"	"list(doi = \"10.1006/qres.1997.1920\", url = \"https://doi.org/10.1006/qres.1997.1920\", year = \"1997\", month = \"sep\", publisher = \"Cambridge University Press ({CUP})\", volume = \"48\", number = \"2\", pages = \"215--227\", author = list(list(given = \"Francisco\", family = \"Serrano\", role = NULL, email = NULL, comment = NULL), list(given = \"Antonio\", family = \"Guerra-MerchÃ¡n\", role = NULL, email = NULL, comment = NULL), list(given = \"Carmen\", family = \"Lozano-Francisco\", role = NULL, email = NULL, comment = NULL), 
    list(given = c(\"JosÃ©\", \"Luis\"), family = \"Vera-PelÃ¡ez\", role = NULL, email = NULL, comment = NULL)), title = \"Multivariate Analysis of Remains of Molluscan Foods Consumed by Latest Pleistocene and Holocene Humans in Nerja Cave, M{\\'{a}}laga, Spain\", journal = \"Quaternary Research\")"
"Garcia-Puchol & Salazar-Garcia 2017"	"10.1007/978-3-319-52939-4"	"list(doi = \"10.1007/978-3-319-52939-4\", url = \"https://doi.org/10.1007/978-3-319-52939-4\", year = \"2017\", publisher = \"Springer International Publishing\", editor = list(list(given = \"Oreto\", family = \"Garc\\'\\ia-Puchol\", role = NULL, email = NULL, comment = NULL), list(given = c(\"Domingo\", \"C.\"), family = \"Salazar-Garc\\'\\ia\", role = NULL, email = NULL, comment = NULL)), title = \"Times of Neolithic Transition along the Western Mediterranean\")"
"Ibanez et al. 2017"	"10.1007/978-3-319-52939-4_13"	"list(doi = \"10.1007/978-3-319-52939-4_13\", url = \"https://doi.org/10.1007/978-3-319-52939-4_13\", year = \"2017\", publisher = \"Springer International Publishing\", pages = \"339--371\", author = list(list(given = c(\"Juan\", \"JosÃ©\"), family = \"IbÃ¡Ã±ez-EstÃ©vez\", role = NULL, email = NULL, comment = NULL), list(given = c(\"Juan\", \"Francisco\", \"Gibaja\"), family = \"Bao\", role = NULL, email = NULL, comment = NULL), list(given = \"Bernard\", family = \"Gassin\", role = NULL, email = NULL, comment = NULL), list(
    given = \"Niccolo\", family = \"Mazzucco\", role = NULL, email = NULL, comment = NULL)), title = \"Paths and Rhythms in the Spread of Agriculture in the Western Mediterranean: The Contribution of the Analysis of Harvesting Technology\", booktitle = \"Times of Neolithic Transition along the Western Mediterranean\")"
"Juan Cabanilles et al. 2017"	"10.1007/978-3-319-52939-4_3"	"list(doi = \"10.1007/978-3-319-52939-4_3\", url = \"https://doi.org/10.1007/978-3-319-52939-4_3\", year = \"2017\", publisher = \"Springer International Publishing\", pages = \"33--65\", author = list(list(given = \"Joaquim\", family = \"Juan-Cabanilles\", role = NULL, email = NULL, comment = NULL), list(given = c(\"Bernat\", \"Mart\\'\\i\"), family = \"Oliver\", role = NULL, email = NULL, comment = NULL)), title = \"New Approaches to the Neolithic Transition: The Last Hunters and First Farmers of the Western Mediterranean\", 
    booktitle = \"Times of Neolithic Transition along the Western Mediterranean\")"
"Pardo-Gordo et al. 2017"	"10.1007/978-3-319-52939-4_5"	"list(doi = \"10.1007/978-3-319-52939-4_5\", url = \"https://doi.org/10.1007/978-3-319-52939-4_5\", year = \"2017\", publisher = \"Springer International Publishing\", pages = \"101--131\", author = list(list(given = c(\"Salvador\", \"Pardo-Gor\"), family = \"ó\", role = NULL, email = NULL, comment = NULL), list(given = c(\"Sean\", \"M.\"), family = \"Bergin\", role = NULL, email = NULL, comment = NULL), list(given = c(\"Joan\", \"Bernabeu\"), family = \"AubÃ¡n\", role = NULL, email = NULL, comment = NULL), list(given = c(\"C.\", 
\"Michael\"), family = \"Barton\", role = NULL, email = NULL, comment = NULL)), title = \"Alternative Stories of Agricultural Origins: The Neolithic Spread in the Iberian Peninsula\", booktitle = \"Times of Neolithic Transition along the Western Mediterranean\")"
"Gassiot et al. 2017"	"10.1007/978-3-319-55982-7_4"	"list(doi = \"10.1007/978-3-319-55982-7_4\", url = \"https://doi.org/10.1007/978-3-319-55982-7_4\", year = \"2017\", publisher = \"Springer International Publishing\", pages = \"75--105\", author = list(list(given = c(\"Ermengol\", \"Gassiot\", \"Ball\"), family = \"è\", role = NULL, email = NULL, comment = NULL), list(given = \"NiccolÃ²\", family = \"Mazzucco\", role = NULL, email = NULL, comment = NULL), list(given = c(\"Ignacio\", \"Clemente\"), family = \"Conte\", role = NULL, email = NULL, comment = NULL), list(given = c(\"David\", 
